username,repo_name,stars,repo_url
jlevy,the-art-of-command-line,151000,https://github.com/jlevy/the-art-of-command-line
nvm-sh,nvm,77200,https://github.com/nvm-sh/nvm
junegunn,fzf,62000,https://github.com/junegunn/fzf
starship,starship,43000,https://github.com/starship/starship
google,zx,42300,https://github.com/google/zx
LeCoupa,awesome-cheatsheets,38500,https://github.com/LeCoupa/awesome-cheatsheets
acmesh-official,acme.sh,37600,https://github.com/acmesh-official/acme.sh
dylanaraps,pure-bash-bible,36300,https://github.com/dylanaraps/pure-bash-bible
koalaman,shellcheck,35500,https://github.com/koalaman/shellcheck
alebcay,awesome-shell,31900,https://github.com/alebcay/awesome-shell
mathiasbynens,dotfiles,30000,https://github.com/mathiasbynens/dotfiles
jaywcjlove,linux-command,29700,https://github.com/jaywcjlove/linux-command
withfig,autocomplete,24400,https://github.com/withfig/autocomplete
dylanaraps,neofetch,21600,https://github.com/dylanaraps/neofetch
kingToolbox,WindTerm,21600,https://github.com/kingToolbox/WindTerm
asdf-vm,asdf,21100,https://github.com/asdf-vm/asdf
ajeetdsouza,zoxide,20300,https://github.com/ajeetdsouza/zoxide
warpdotdev,Warp,20300,https://github.com/warpdotdev/Warp
Nyr,openvpn-install,18700,https://github.com/Nyr/openvpn-install
atuinsh,atuin,18600,https://github.com/atuinsh/atuin
