username,repo_name,stars,repo_url
Genymobile,scrcpy,105000,https://github.com/Genymobile/scrcpy
neovim,neovim,79900,https://github.com/neovim/neovim
obsproject,obs-studio,57300,https://github.com/obsproject/obs-studio
fffaraz,awesome-cpp,57000,https://github.com/fffaraz/awesome-cpp
git,git,51000,https://github.com/git/git
FFmpeg,FFmpeg,43700,https://github.com/FFmpeg/FFmpeg
serhii-londar,open-source-mac-os-apps,40400,https://github.com/serhii-londar/open-source-mac-os-apps
vim,vim,35600,https://github.com/vim/vim
curl,curl,34800,https://github.com/curl/curl
huihut,interview,33800,https://github.com/huihut/interview
mpv-player,mpv,26700,https://github.com/mpv-player/mpv
ggreer,the_silver_searcher,25900,https://github.com/ggreer/the_silver_searcher
ossrs,srs,24800,https://github.com/ossrs/srs
kovidgoyal,kitty,22800,https://github.com/kovidgoyal/kitty
google,flatbuffers,22500,https://github.com/google/flatbuffers
microsoft,vcpkg,22200,https://github.com/microsoft/vcpkg
ruby,ruby,21700,https://github.com/ruby/ruby
raysan5,raylib,20400,https://github.com/raysan5/raylib
hashcat,hashcat,20300,https://github.com/hashcat/hashcat
radareorg,radare2,20000,https://github.com/radareorg/radare2
